Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
1.109714500000000,227,N,'169',Write,ACK
1.109999000000000,228,N,Y,Write,ACK
1.110229000000000,229,N,],Write,ACK
1.110458500000000,230,N,Y,Write,ACK
1.110743000000000,231,N,I,Write,ACK
1.110973000000000,232,N,M,Write,ACK
1.111202500000000,233,N,I,Write,ACK
1.712181000000000,234,N,'8',Write,ACK
1.712410500000000,235,N,'12',Write,ACK
1.712640500000000,236,N,'8',Write,ACK
1.712925000000000,237,N,'24',Write,ACK
1.713154500000000,238,N,'28',Write,ACK
1.713384500000000,239,N,'24',Write,ACK
1.715756500000000,240,N,'136',Write,ACK
1.715986500000000,241,N,'140',Write,ACK
1.716216000000000,242,N,'136',Write,ACK
1.716500500000000,243,N,'8',Write,ACK
1.716730500000000,244,N,'12',Write,ACK
1.716960000000000,245,N,'8',Write,ACK
1.717255000000000,246,N,),Write,ACK
1.717484500000000,247,N,-,Write,ACK
1.717714000000000,248,N,),Write,ACK
1.717994000000000,249,N,\t,Write,ACK
1.718223500000000,250,N,\r,Write,ACK
1.718453500000000,251,N,\t,Write,ACK
1.718738000000000,252,N,I,Write,ACK
1.718967500000000,253,N,M,Write,ACK
1.719197500000000,254,N,I,Write,ACK
1.719482000000000,255,N,Y,Write,ACK
1.719712000000000,256,N,],Write,ACK
1.719941500000000,257,N,Y,Write,ACK
1.720226000000000,258,N,i,Write,ACK
1.720456000000000,259,N,m,Write,ACK
1.720685500000000,260,N,i,Write,ACK
1.720965500000000,261,N,'233',Write,ACK
1.721195000000000,262,N,'237',Write,ACK
1.721425000000000,263,N,'233',Write,ACK
1.721709500000000,264,N,y,Write,ACK
1.721939500000000,265,N,},Write,ACK
1.722169000000000,266,N,y,Write,ACK
1.722458500000000,267,N,I,Write,ACK
1.722688500000000,268,N,M,Write,ACK
1.722918000000000,269,N,I,Write,ACK
1.723203000000000,270,N,i,Write,ACK
1.723442500000000,271,N,m,Write,ACK
1.723672000000000,272,N,i,Write,ACK
1.723952000000000,273,N,Y,Write,ACK
1.724181500000000,274,N,],Write,ACK
1.724411500000000,275,N,Y,Write,ACK
1.724696000000000,276,N,y,Write,ACK
1.724926000000000,277,N,},Write,ACK
1.725155500000000,278,N,y,Write,ACK
1.725440000000000,279,N,),Write,ACK
1.725670000000000,280,N,-,Write,ACK
1.725899500000000,281,N,),Write,ACK
1.726184000000000,282,N,),Write,ACK
1.726414000000000,283,N,-,Write,ACK
1.726643500000000,284,N,),Write,ACK
